GeneID	GSM3525709	GSM3525710	GSM3525711	GSM3525712	GSM3525713	GSM3525714	GSM3525715	GSM3525716	GSM3525717	GSM3525718	GSM3525719	GSM3525720	GSM3525721	GSM3525722	GSM3525723	GSM3525724	GSM3525725	GSM3525726	GSM3525727	GSM3525728	GSM3525729	GSM3525730	GSM3525731	GSM3525732
100287102	1	0	0	1	1	0	1	3	3	4	2	1	2	3	1	1	4	3	5	2	5	4	6	4
653635	218	409	243	189	183	266	323	335	331	384	284	361	252	344	432	250	424	332	560	401	301	251	438	597
102466751	6	8	6	3	4	8	9	8	7	7	11	9	7	11	20	9	2	3	9	4	1	4	5	5
107985730	1	5	0	1	0	0	0	1	1	4	1	1	0	0	0	0	0	1	2	2	3	3	2	2
100302278	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	2
645520	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
100996442	44	82	58	45	9	10	18	23	7	11	9	7	4	5	16	16	18	15	25	13	11	12	27	14
729737	873	2080	1735	1323	150	189	594	552	105	143	271	312	91	137	459	244	321	342	468	330	254	199	371	427
102725121	0	1	3	1	1	1	1	3	3	5	3	2	1	3	2	3	7	7	6	2	4	10	8	4
102723897	227	462	274	219	215	292	367	376	529	491	339	430	312	443	489	311	510	397	601	359	399	325	445	624
102465909	2	5	2	2	4	4	7	6	5	5	4	6	3	6	11	8	3	3	8	4	2	3	4	4
107985721	3	5	2	1	0	0	0	0	1	7	0	0	0	0	0	4	4	3	1	2	7	8	1	4
112268260	2	4	5	4	4	4	6	5	2	6	0	5	0	1	3	2	0	2	8	9	5	2	5	4
729759	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
100132287	671	1424	1060	836	537	647	817	899	314	421	449	569	334	542	718	424	548	646	723	571	370	281	636	699
105378947	2	2	1	0	1	0	2	2	0	1	1	1	0	0	2	1	0	0	1	1	2	0	0	1
101928626	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
113219467	563	1325	1040	630	325	326	194	153	921	1398	433	465	212	281	141	171	647	544	481	379	651	744	568	889
81399	9	21	10	9	5	5	12	6	5	4	5	9	3	1	2	2	6	12	13	11	9	5	18	13
100133331	491	1082	817	575	436	560	583	705	270	363	316	420	360	471	476	340	416	431	486	372	251	210	410	408
107984841	178	404	278	187	162	198	196	240	101	105	93	113	131	201	233	256	194	210	190	171	73	54	164	157
107984847	301	707	455	330	248	302	318	389	130	158	175	206	181	291	476	455	340	419	393	381	212	143	313	352
107984849	77	208	150	110	54	61	78	75	16	21	33	45	42	54	141	117	52	76	88	81	22	22	58	72
100288069	109	191	143	99	69	71	68	127	45	38	40	43	50	89	114	129	78	107	122	91	47	24	89	72
105378580	18	28	21	10	33	41	26	29	140	133	35	37	42	56	22	21	18	35	51	31	24	29	38	25
400728	3	3	3	2	13	12	3	14	51	40	15	18	10	13	23	11	1	17	8	11	13	8	10	7
79854	21	30	16	14	15	17	21	19	65	82	26	30	42	50	33	15	11	15	17	19	34	39	20	26
643837	157	287	217	182	330	429	320	373	853	943	447	566	398	505	385	474	228	344	409	307	748	568	715	565
107984850	0	2	2	0	3	0	0	0	22	20	2	7	1	0	0	0	0	0	4	1	17	8	9	3
284593	1	1	1	1	0	0	0	0	10	12	3	4	1	1	0	0	0	1	0	0	12	5	2	0
284600	20	44	12	10	88	133	138	127	117	142	34	37	150	210	45	18	128	107	187	121	34	19	37	38
100130417	9	24	3	5	67	118	108	137	135	162	28	29	65	85	82	25	86	66	124	79	20	21	17	17
107985728	2	9	1	2	257	288	220	274	224	220	65	80	59	79	120	60	235	154	257	174	27	28	20	42
148398	130	214	142	119	695	1145	791	1095	665	735	311	419	230	353	203	70	981	477	899	477	258	181	234	463
26155	2265	4109	2995	2393	2310	3115	2350	2976	5069	5439	3089	3897	4508	6151	4225	2875	3434	2451	2314	1427	3292	2716	3463	6562
