sample_id,label_raw,status,cell_type,condition
GSM3525709,ERCC6 mut iPSC rep1,mut,iPSC,basal
GSM3525710,ERCC6 mut iPSC rep2,mut,iPSC,basal
GSM3525711,ERCC6 GC iPSC rep1,GC,iPSC,basal
GSM3525712,ERCC6 GC iPSC rep2,GC,iPSC,basal
GSM3525713,ERCC6 mut MSC Ctrl rep1,mut,MSC,Ctrl
GSM3525714,ERCC6 mut MSC Ctrl rep2,mut,MSC,Ctrl
GSM3525715,ERCC6 GC MSC Ctrl rep1,GC,MSC,Ctrl
GSM3525716,ERCC6 GC MSC Ctrl rep2,GC,MSC,Ctrl
GSM3525717,ERCC6 mut MSC UV rep1,mut,MSC,UV
GSM3525718,ERCC6 mut MSC UV rep2,mut,MSC,UV
GSM3525719,ERCC6 GC MSC UV rep1,GC,MSC,UV
GSM3525720,ERCC6 GC MSC UV rep2,GC,MSC,UV
GSM3525721,ERCC6 mut MSC RS rep1,mut,MSC,RS
GSM3525722,ERCC6 mut MSC RS rep2,mut,MSC,RS
GSM3525723,ERCC6 GC MSC RS rep1,GC,MSC,RS
GSM3525724,ERCC6 GC MSC RS rep2,GC,MSC,RS
GSM3525725,ERCC6 mut NSC Ctrl rep1,mut,NSC,Ctrl
GSM3525726,ERCC6 mut NSC Ctrl rep2,mut,NSC,Ctrl
GSM3525727,ERCC6 GC NSC Ctrl rep1,GC,NSC,Ctrl
GSM3525728,ERCC6 GC NSC Ctrl rep2,GC,NSC,Ctrl
GSM3525729,ERCC6 mut NSC UV rep1,mut,NSC,UV
GSM3525730,ERCC6 mut NSC UV rep2,mut,NSC,UV
GSM3525731,ERCC6 GC NSC UV rep1,GC,NSC,UV
GSM3525732,ERCC6 GC NSC UV rep2,GC,NSC,UV
